accession,taxid
NC_105114.1,2851991
NC_103484.1,2801536
NC_105116.1,2851993
NC_103481.1,2801510
NC_103643.1,2815768
NC_103216.1,2785525
NC_102114.1,2713322
NC_100739.1,2575327
NZ_CP029707.1,287
NC_001608.4,33727
NC_101270.1,2591134
NC_100567.1,2588125
NC_102113.1,2713318
NC_001526.4,333760
NC_102110.1,2713313
NC_102109.1,2713311
NC_102108.1,2713305
NC_107033.1,2959432
NC_105115.1,2851992
NC_111398.1,3025422
NC_109292.1,2962598
NC_104194.1,2861003
NC_106733.1,2948589
NC_133255.1,2576478
NC_111353.1,3025418
NC_103215.1,2777380
NC_103212.1,2777377
NC_092681.1,2912287
NC_092900.1,2713296
NC_092684.1,2713288
NC_027026.1,95342
NZ_CP139039.1,1314835
NZ_CP019649.1,1331664
NC_092683.1,2713284
NC_092682.1,2713280
NC_092457.1,3018531
NC_092456.1,3018528
NC_092455.1,3018522
NC_091965.1,3028515
NC_091964.1,2608368
NC_026314.1,2773293
NC_083851.1,2283315
NZ_CP110845.1,2993654
NC_047837.1,2023716
NC_024625.1,1346829
NC_023861.2,1755588
NC_079188.1,2822864
NC_079187.1,2849625
NC_079186.1,2911664
NC_079185.1,2978980
NC_079184.1,3003366
NC_079183.1,2909742
NC_079182.1,2593324
NC_079181.1,2593331
NC_079180.1,2910155
NC_079179.1,2801354
NC_079178.1,2801356
NC_079177.1,2801357
NC_079176.1,2875839
NC_079175.1,2961702
NC_079174.1,2876597
NC_005859.1,2695836
NC_073071.1,2045373
NC_070779.1,2797303
NC_061437.1,1928621
NC_079146.1,3038364
NC_079145.1,2859476
NC_079144.1,2571250
NC_079143.1,3038367
NC_079142.1,2927281
NC_079141.1,2652405
NC_079140.1,3035369
NC_055052.1,2848047
NC_027399.1,1439894
NC_025824.1,2847073
NC_025440.1,1541821
NC_079139.1,2811091
NC_075033.1,10863
NC_075032.1,10863
NC_075031.1,10863
NC_075030.1,10863
NC_075029.1,10863
NC_075028.1,10863
NC_075026.1,10863
NC_075025.1,10863
NC_074765.1,1977402
NC_074763.1,10872
NC_074762.1,1463607
NC_055055.1,1979540
NC_055054.1,1497850
NC_055053.1,1685501
NC_055051.1,867695
NC_047872.1,1486419
NC_047871.1,1486414
NC_047853.1,947379
NC_047745.1,1173765
NC_047744.1,1445811
NC_047736.1,1126949
NC_047735.1,1126951
NC_047732.1,1673874
NC_047731.1,1673884
NC_047730.1,1610831
NC_047729.1,1610830
NC_047728.1,516541
NC_047727.1,1195080
NC_047726.1,1195079
NC_047725.1,1195078
NC_047724.1,1195081
NC_047723.1,1195077
NC_047722.1,1195076
NC_047721.1,1239385
NC_047720.1,1028375
NC_028944.1,1690431
NC_025823.1,10863
NC_025417.1,1262512
NC_021781.2,1173766
NC_020877.1,1235660
NC_019548.1,1150992
NC_012757.1,642111
NC_005949.1,127511
NC_003311.2,180503
NC_002363.1,127508
NC_077216.1,698400
NC_044935.1,35265
NC_078647.1,2812802
NC_017918.2,1381007
NC_047778.1,1897743
NC_018667.1,2340870
NC_018617.1,2170116
NC_017829.1,134386
NC_014955.1,1513257
NC_001612.1,138948
NC_001472.1,138949
NC_079028.1,2905465
NC_079027.1,2905465
NC_079026.1,2905465
NC_079025.1,2905464
NC_079024.1,2905464
NC_079023.1,2905464
NC_077712.1,228897
NC_077711.1,228897
NC_076332.1,2202565
NC_077215.1,2986514
NC_077214.1,3071324
NC_077213.1,2969597
NC_077212.1,2969597
NC_077211.1,2969597
NC_077210.1,2969597
NC_077209.1,2951261
NC_077208.1,2951260
NC_077207.1,2951259
NC_077206.1,2951256
NC_077205.1,3017836
NC_077204.1,3017835
NC_077203.1,3017836
NC_077202.1,3017833
NC_077201.1,3017832
NC_077200.1,3017829
NC_077199.1,3017830
NC_077198.1,3017834
NC_077197.1,3017831
NC_077196.1,2929287
NC_077195.1,2929250
NC_077194.1,2929252
NC_077193.1,2912606
NC_077191.1,2914460
NC_077190.1,2914455
NC_077189.1,2914459
NC_077188.1,2914457
NC_077187.1,2914461
NC_077186.1,2914456
NC_077185.1,2914454
NC_077184.1,2914485
NC_077183.1,2914482
NC_077182.1,2914481
NC_077181.1,2914480
NC_077180.1,2914487
NC_077179.1,2914484
NC_077178.1,2914483
NC_077177.1,2914488
NC_077176.1,2914486
NC_077175.1,2914477
NC_077174.1,2928187
NC_077173.1,2929011
NC_077172.1,2929005
NC_077171.1,2929007
NC_077170.1,2741801
NC_077169.1,2911954
NC_077168.1,2911958
NC_077167.1,2911957
NC_077166.1,2911956
NC_077165.1,2908099
NC_077164.1,2909205
NC_077163.1,2945982
NC_077162.1,3071210
NC_077159.1,2872567
NC_077155.1,2913600
NC_077153.1,2928256
NC_077152.1,2913660
NC_077151.1,2903266
NC_077150.1,2921215
NC_077149.1,2873557
NC_077148.1,2880839
NC_077147.1,2933796
NC_077145.1,2873952
NC_077144.1,2873951
NC_077142.1,2879288
NC_077141.1,2879288
NC_077140.1,2879287
NC_077139.1,2874141
NC_077137.1,2886406
NC_077136.1,2886402
NC_077135.1,2886401
NC_077134.1,2886400
NC_077133.1,2886399
NC_077132.1,2886398
NC_077131.1,2886397
NC_077130.1,2877507
NC_077129.1,2877511
NC_077128.1,2905564
NC_077127.1,2905620
NC_077126.1,2905571
NC_077125.1,2905570
NC_077124.1,2905566
NC_077123.1,3070917
NC_077122.1,2905565
NC_077121.1,2905567
NC_077120.1,2905569
NC_077118.1,2871166
NC_077115.1,2834422
NC_077112.1,2860269
NC_077109.1,2817738
NC_077108.1,2878269
NC_077106.1,2863583
NC_077105.1,2839003
NC_077104.1,2820912
NC_077103.1,2899887
NC_077102.1,2827438
NC_077101.1,2827437
NC_077100.1,2827439
NC_077097.1,2810799
NC_077096.1,2838076
NC_077089.1,2909736
NC_077087.1,2778671
NC_077086.1,2878088
NC_077085.1,2878088
NC_077084.1,2875869
NC_077083.1,2781641
NC_077082.1,2781641
NC_077081.1,2781641
NC_077080.1,2781641
NC_077079.1,2781641
NC_077078.1,2771212
NC_077076.1,2771381
NC_077075.1,2771380
NC_077070.1,2838078
NC_077069.1,2755147
NC_077068.1,2777710
NC_077065.1,2767029
NC_077056.1,2791164
NC_077052.1,2764701
NC_077048.1,2713208
NC_077047.1,2801326
NC_077046.1,2755482
NC_077040.1,2763538
NC_077034.1,2714177
NC_077031.1,3071313
NC_077029.1,3070156
NC_077024.1,2713211
NC_076993.1,2983915
NC_076968.1,2762721
NC_076951.1,2748342
NC_076946.1,2880837
NC_076945.1,2880838
NC_076944.1,2848910
NC_076943.1,2848909
NC_076942.1,2834153
NC_076941.1,2811341
NC_076939.1,2892035
NC_076917.1,2796532
NC_076914.1,2813545
NC_076913.1,2829853
NC_076909.1,2805917
NC_076908.1,2783683
NC_076907.1,2778520
NC_076905.1,2760664
NC_076904.1,3071225
NC_076903.1,2760745
NC_076902.1,2753665
NC_076901.1,2716759
NC_076900.1,2793953
NC_076899.1,2768771
NC_076898.1,2730538
NC_076897.1,2755404
NC_076896.1,2749300
NC_076894.1,2766568
NC_076893.1,2766566
NC_076892.1,2766566
NC_076891.1,2766565
NC_076890.1,2766564
NC_076889.1,2766563
NC_076888.1,2766562
NC_076887.1,2766561
NC_076886.1,2766561
NC_076885.1,2781948
NC_076883.1,2775266
NC_076882.1,2732256
NC_076881.1,2767013
NC_076873.1,2763129
NC_076865.1,2754817
NC_076864.1,3071215
NC_076863.1,2810133
NC_076862.1,2740120
NC_076851.1,2735923
NC_076850.1,2735921
NC_076849.1,2735920
NC_076848.1,2735919
NC_076847.1,2735927
NC_076846.1,2735925
NC_076845.1,2735940
NC_076844.1,2735939
NC_076843.1,2735938
NC_076842.1,2716754
NC_076841.1,2716753
NC_076840.1,2735951
NC_076839.1,2735950
NC_076838.1,2735949
NC_076837.1,2735948
NC_076836.1,2735947
NC_076835.1,2735946
NC_076834.1,2735945
NC_076833.1,2735944
NC_076832.1,2735957
NC_076831.1,2735956
NC_076830.1,2735955
NC_076829.1,2735954
NC_076828.1,2735953
NC_076827.1,2735952
NC_076826.1,2735943
NC_076823.1,2698667
NC_076730.1,2720907
NC_076729.1,2716764
NC_076726.1,2698666
NC_076711.1,2716617
NC_076710.1,2705123
NC_076709.1,2714166
NC_076708.1,2714165
NC_076707.1,2714167
NC_076706.1,2714164
NC_076613.1,2801155
NC_076612.1,2776808
NC_076610.1,2760003
NC_076609.1,2715689
NC_076534.1,2772344
NC_076533.1,2817571
NC_076532.1,2813288
NC_076531.1,2813287
NC_076495.1,2771210
NC_076492.1,2732257
NC_076486.1,2729647
NC_076485.1,2740451
NC_076484.1,2716316
NC_076483.1,2716318
NC_076482.1,2715094
NC_076481.1,2715094
NC_076477.1,2739880
NC_076476.1,2739876
NC_076475.1,2739875
NC_076474.1,2739874
NC_076472.1,2713499
NC_076471.1,2697494
NC_076470.1,2705538
NC_076469.1,2705543
NC_076465.1,2738470
NC_076464.1,2738469
NC_076448.1,2721273
NC_076447.1,2718722
NC_076446.1,2736647
NC_076444.1,2720966
NC_076443.1,2720962
NC_076442.1,2720961
NC_076441.1,2720960
NC_076440.1,2720959
NC_076439.1,2720958
NC_076438.1,2720952
NC_076437.1,2720951
NC_076436.1,2720949
NC_076435.1,2720946
NC_076434.1,2720945
NC_076433.1,2720942
NC_076432.1,2720941
NC_076431.1,2736692
NC_076430.1,2738555
NC_076429.1,2695302
NC_076427.1,2714894
NC_076417.1,2849697
NC_076415.1,2704630
NC_076411.1,2849699
NC_076399.1,2714170
NC_076395.1,2751480
NC_076349.1,2802539
NC_076244.1,2802554
NC_076022.1,2849741
NC_075992.1,2870379
NC_075445.1,2870377
NC_075284.1,2956631
NC_075283.1,2956630
NC_075282.1,2870360
NC_075281.1,2870359
NC_059682.1,2847174
NC_059681.1,2847173
NC_077220.1,2509152
NC_077219.1,2847092
NC_077092.1,2080449
NC_077051.1,2050976
NC_077050.1,2050976
NC_077038.1,3070179
NC_077036.1,748192
NC_077035.1,2653508
NC_077030.1,2682467
NC_077028.1,2972693
NC_077027.1,2683823
NC_077026.1,2653709
NC_077025.1,1207438
NC_077018.1,2672571
NC_077017.1,2304463
